Night,Sample.ID,Fert,Unfert,Total,Fert.rate
Night 1,AB,45,0,45,100
Night 1,AB,38,0,38,100
Night 1,AB,39,2,41,95.12195122
Night 1,AC,15,7,22,68.18181818
Night 1,AC,37,8,45,82.22222222
Night 1,AC,20,11,31,64.51612903
Night 1,AD,48,15,63,76.19047619
Night 1,AD,64,7,71,90.14084507
Night 1,AD,61,11,72,84.72222222
Night 1,BA,47,11,58,81.03448276
Night 1,BA,49,7,56,87.5
Night 1,BA,42,19,61,68.85245902
Night 1,BC,21,19,40,52.5
Night 1,BC,26,10,36,72.22222222
Night 1,BC,23,11,34,67.64705882
Night 1,BD,28,42,70,40
Night 1,BD,34,30,64,53.125
Night 1,BD,36,26,62,58.06451613
Night 1,CA,48,8,56,85.71428571
Night 1,CA,45,8,53,84.90566038
Night 1,CA,50,5,55,90.90909091
Night 1,CB,50,1,51,98.03921569
Night 1,CB,34,1,35,97.14285714
Night 1,CB,33,2,35,94.28571429
Night 1,CD,28,36,64,43.75
Night 1,CD,24,41,65,36.92307692
Night 1,CD,20,43,63,31.74603175
Night 1,DA,55,2,57,96.49122807
Night 1,DA,42,2,44,95.45454545
Night 1,DA,35,12,47,74.46808511
Night 1,DB,29,3,32,90.625
Night 1,DB,26,5,31,83.87096774
Night 1,DB,32,1,33,96.96969697
Night 1,DC,22,12,34,64.70588235
Night 1,DC,29,8,37,78.37837838
Night 1,DC,17,15,32,53.125
Night 1,Batch,46,14,60,76.66666667
Night 1,Batch,46,17,63,73.01587302
Night 1,Batch,46,13,59,77.96610169
Night 2,AB,46,7,53,86.79245283
Night 2,AB,20,4,24,83.33333333
Night 2,AB,41,19,60,68.33333333
Night 2,AC,39,17,56,69.64285714
Night 2,AC,20,13,33,60.60606061
Night 2,AC,29,3,32,90.625
Night 2,AD,28,14,42,66.66666667
Night 2,AD,44,12,56,78.57142857
Night 2,AD,24,10,34,70.58823529
Night 2,AE,34,27,61,55.73770492
Night 2,AE,45,27,72,62.5
Night 2,AE,39,16,55,70.90909091
Night 2,AF,29,36,65,44.61538462
Night 2,AF,26,45,71,36.61971831
Night 2,AF,20,44,64,31.25
Night 2,AG,39,22,61,63.93442623
Night 2,AG,30,7,37,81.08108108
Night 2,AG,33,4,37,89.18918919
Night 2,AH,26,37,63,41.26984127
Night 2,AH,46,19,65,70.76923077
Night 2,AH,29,28,57,50.87719298
Night 2,BA,18,29,47,38.29787234
Night 2,BA,9,42,51,17.64705882
Night 2,BA,9,50,59,15.25423729
Night 2,BC,24,14,38,63.15789474
Night 2,BC,29,21,50,58
Night 2,BC,17,22,39,43.58974359
Night 2,BD,26,4,30,86.66666667
Night 2,BD,47,12,59,79.66101695
Night 2,BD,43,19,62,69.35483871
Night 2,BE,6,73,79,7.594936709
Night 2,BE,1,60,61,1.639344262
Night 2,BE,3,61,64,4.6875
Night 2,BF,7,48,55,12.72727273
Night 2,BF,11,54,65,16.92307692
Night 2,BF,17,43,60,28.33333333
Night 2,BG,24,15,39,61.53846154
Night 2,BG,30,14,44,68.18181818
Night 2,BG,27,12,39,69.23076923
Night 2,BH,44,12,56,78.57142857
Night 2,BH,44,5,49,89.79591837
Night 2,BH,51,9,60,85
Night 2,CA,40,31,71,56.33802817
Night 2,CA,44,22,66,66.66666667
Night 2,CA,42,10,52,80.76923077
Night 2,CB,64,6,70,91.42857143
Night 2,CB,55,15,70,78.57142857
Night 2,CB,42,18,60,70
Night 2,CD,55,11,66,83.33333333
Night 2,CD,57,16,73,78.08219178
Night 2,CD,44,7,51,86.2745098
Night 2,CE,28,36,64,43.75
Night 2,CE,60,17,77,77.92207792
Night 2,CE,37,23,60,61.66666667
Night 2,CF,30,32,62,48.38709677
Night 2,CF,37,33,70,52.85714286
Night 2,CF,32,42,74,43.24324324
Night 2,CG,54,15,69,78.26086957
Night 2,CG,83,19,102,81.37254902
Night 2,CG,33,9,42,78.57142857
Night 2,CH,34,12,46,73.91304348
Night 2,CH,37,7,44,84.09090909
Night 2,CH,30,15,45,66.66666667
Night 2,DA,29,7,36,80.55555556
Night 2,DA,20,27,47,42.55319149
Night 2,DA,32,33,65,49.23076923
Night 2,DB,16,46,62,25.80645161
Night 2,DB,10,54,64,15.625
Night 2,DB,24,43,67,35.82089552
Night 2,DC,33,15,48,68.75
Night 2,DC,36,21,57,63.15789474
Night 2,DC,38,21,59,64.40677966
Night 2,DE,26,47,73,35.61643836
Night 2,DE,45,44,89,50.56179775
Night 2,DE,18,43,61,29.50819672
Night 2,DF,9,61,70,12.85714286
Night 2,DF,19,59,78,24.35897436
Night 2,DF,13,54,67,19.40298507
Night 2,DG,10,25,35,28.57142857
Night 2,DG,27,22,49,55.10204082
Night 2,DG,18,29,47,38.29787234
Night 2,DH,20,22,42,47.61904762
Night 2,DH,18,29,47,38.29787234
Night 2,DH,24,33,57,42.10526316
Night 2,EA,54,8,62,87.09677419
Night 2,EA,53,5,58,91.37931034
Night 2,EA,40,6,46,86.95652174
Night 2,EB,0,47,47,0
Night 2,EB,5,74,79,6.329113924
Night 2,EB,3,66,69,4.347826087
Night 2,EC,32,0,32,100
Night 2,EC,48,0,48,100
Night 2,EC,38,1,39,97.43589744
Night 2,ED,46,6,52,88.46153846
Night 2,ED,38,11,49,77.55102041
Night 2,ED,52,13,65,80
Night 2,EF,54,16,70,77.14285714
Night 2,EF,47,19,66,71.21212121
Night 2,EF,38,24,62,61.29032258
Night 2,EG,37,5,42,88.0952381
Night 2,EG,38,5,43,88.37209302
Night 2,EG,31,3,34,91.17647059
Night 2,EH,50,8,58,86.20689655
Night 2,EH,49,16,65,75.38461538
Night 2,EH,34,19,53,64.1509434
Night 2,FA,48,4,52,92.30769231
Night 2,FA,27,20,47,57.44680851
Night 2,FA,41,5,46,89.13043478
Night 2,FB,56,14,70,80
Night 2,FB,57,3,60,95
Night 2,FB,56,6,62,90.32258065
Night 2,FC,47,1,48,97.91666667
Night 2,FC,44,1,45,97.77777778
Night 2,FC,38,1,39,97.43589744
Night 2,FD,52,13,65,80
Night 2,FD,34,10,44,77.27272727
Night 2,FD,41,14,55,74.54545455
Night 2,FE,25,16,41,60.97560976
Night 2,FE,58,13,71,81.69014085
Night 2,FE,47,25,72,65.27777778
Night 2,FG,39,13,52,75
Night 2,FG,31,4,35,88.57142857
Night 2,FG,45,5,50,90
Night 2,FH,2,59,61,3.278688525
Night 2,FH,2,55,57,3.50877193
Night 2,FH,6,45,51,11.76470588
Night 2,GA,58,13,71,81.69014085
Night 2,GA,50,9,59,84.74576271
Night 2,GA,41,9,50,82
Night 2,GB,31,13,44,70.45454545
Night 2,GB,45,11,56,80.35714286
Night 2,GB,44,11,55,80
Night 2,GC,40,14,54,74.07407407
Night 2,GC,39,6,45,86.66666667
Night 2,GC,33,29,62,53.22580645
Night 2,GD,50,15,65,76.92307692
Night 2,GD,34,35,69,49.27536232
Night 2,GD,41,10,51,80.39215686
Night 2,GE,35,29,64,54.6875
Night 2,GE,38,35,73,52.05479452
Night 2,GE,47,38,85,55.29411765
Night 2,GF,33,55,88,37.5
Night 2,GF,25,49,74,33.78378378
Night 2,GF,29,28,57,50.87719298
Night 2,GH,42,8,50,84
Night 2,GH,34,10,44,77.27272727
Night 2,GH,47,11,58,81.03448276
Night 2,HA,12,28,40,30
Night 2,HA,14,43,57,24.56140351
Night 2,HA,25,25,50,50
Night 2,HB,17,30,47,36.17021277
Night 2,HB,43,10,53,81.13207547
Night 2,HB,37,17,54,68.51851852
Night 2,HC,43,7,50,86
Night 2,HC,32,6,38,84.21052632
Night 2,HC,52,8,60,86.66666667
Night 2,HD,46,10,56,82.14285714
Night 2,HD,30,19,49,61.2244898
Night 2,HD,50,8,58,86.20689655
Night 2,HE,31,54,85,36.47058824
Night 2,HE,39,45,84,46.42857143
Night 2,HE,35,28,63,55.55555556
Night 2,HF,5,66,71,7.042253521
Night 2,HF,5,64,69,7.246376812
Night 2,HF,5,62,67,7.462686567
Night 2,HG,23,32,55,41.81818182
Night 2,HG,18,20,38,47.36842105
Night 2,HG,25,20,45,55.55555556
Night 2,Batch ,66,36,102,64.70588235
Night 2,Batch ,62,27,89,69.66292135
Night 2,Batch ,59,52,111,53.15315315
