Sample ID,Fert,Unfert,Total,% Fert,Night
AA,4,291,295,1.355932203,Night 2
AA,7,335,342,2.046783626,Night 2
AA,2,343,345,0.579710145,Night 2
AB,105,93,198,53.03030303,Night 2
AB,219,93,312,70.19230769,Night 2
AB,223,115,338,65.97633136,Night 2
AC,143,145,288,49.65277778,Night 2
AC,93,175,268,34.70149254,Night 2
AC,124,179,303,40.92409241,Night 2
AD,170,104,274,62.04379562,Night 2
AD,119,165,284,41.90140845,Night 2
AD,157,123,280,56.07142857,Night 2
AE,84,152,236,35.59322034,Night 2
AE,77,150,227,33.92070485,Night 2
AE,114,129,243,46.91358025,Night 2
BA,174,167,341,51.02639296,Night 2
BA,248,115,363,68.31955923,Night 2
BA,198,130,328,60.36585366,Night 2
BB,3,318,321,0.934579439,Night 2
BB,2,288,290,0.689655172,Night 2
BB,0,311,311,0,Night 2
BC,210,34,244,86.06557377,Night 2
BC,186,81,267,69.66292135,Night 2
BC,198,65,263,75.2851711,Night 2
BD,241,3,244,98.7704918,Night 2
BD,207,10,217,95.39170507,Night 2
BD,236,5,241,97.9253112,Night 2
BE,238,48,286,83.21678322,Night 2
BE,203,33,236,86.01694915,Night 2
BE,221,11,232,95.25862069,Night 2
CA,135,125,260,51.92307692,Night 2
CA,150,129,279,53.76344086,Night 2
CA,136,156,292,46.57534247,Night 2
CB,322,9,331,97.28096677,Night 2
CB,328,10,338,97.04142012,Night 2
CB,281,4,285,98.59649123,Night 2
CC,4,320,324,1.234567901,Night 2
CC,1,250,251,0.398406375,Night 2
CC,3,235,238,1.260504202,Night 2
CD,234,1,235,99.57446809,Night 2
CD,198,2,200,99,Night 2
CD,215,5,220,97.72727273,Night 2
CE,245,7,252,97.22222222,Night 2
CE,218,18,236,92.37288136,Night 2
CE,264,18,282,93.61702128,Night 2
DA,122,148,270,45.18518519,Night 2
DA,127,151,278,45.68345324,Night 2
DA,78,213,291,26.80412371,Night 2
DB,259,21,280,92.5,Night 2
DB,242,12,254,95.27559055,Night 2
DB,247,22,269,91.82156134,Night 2
DC,109,105,214,50.93457944,Night 2
DC,185,62,247,74.89878543,Night 2
DC,126,77,203,62.06896552,Night 2
DD,7,235,242,2.892561983,Night 2
DD,4,202,206,1.941747573,Night 2
DD,6,242,248,2.419354839,Night 2
DE,159,91,250,63.6,Night 2
DE,207,87,294,70.40816327,Night 2
DE,201,57,258,77.90697674,Night 2
EA,208,30,238,87.39495798,Night 2
EA,267,77,344,77.61627907,Night 2
EA,302,62,364,82.96703297,Night 2
EB,285,9,294,96.93877551,Night 2
EB,250,4,254,98.42519685,Night 2
EB,393,14,407,96.56019656,Night 2
EC,189,8,197,95.93908629,Night 2
EC,203,14,217,93.5483871,Night 2
EC,253,7,260,97.30769231,Night 2
ED,197,4,201,98.00995025,Night 2
ED,223,2,225,99.11111111,Night 2
ED,231,4,235,98.29787234,Night 2
EE,6,161,167,3.592814371,Night 2
EE,5,221,226,2.212389381,Night 2
EE,8,260,268,2.985074627,Night 2
Batch,489,66,555,88.10810811,Night 2
Batch,480,65,545,88.0733945,Night 2
Batch,509,85,594,85.69023569,Night 2
